"ID","Active (0/1)","Name","Category","Price tax excluded","Tax rules ID","Wholesale price","On sale (0/1)","Discount amount","Discount percent","Discount from (yyyy-mm-dd)","Discount to (yyyy-mm-dd)","Reference","Supplier reference","Supplier","Manufacturer","EAN13","UPC","MPN","Ecotax","Width","Height","Depth","Weight","Delivery time of in-stock products","Delivery time of out-of-stock products with allowed orders","Quantity","Minimal quantity","Low stock level","Send me an email when the quantity is under this level","Visibility","Additional shipping cost","Unity","Unit price","Summary","Description","Tags (x,y,z...)","Meta title","Meta keywords","Meta description","URL rewritten","Text when in stock","Text when backorder allowed","Available for order (0 = No, 1 = Yes)","Product available date","Product creation date","Show price (0 = No, 1 = Yes)","Image URLs (x,y,z...)","Image alt texts (x,y,z...)","Delete existing images (0 = No, 1 = Yes)","Feature(Name:Value:Position)","Available online only (0 = No, 1 = Yes)","Condition","Customizable (0 = No, 1 = Yes)","Uploadable files (0 = No, 1 = Yes)","Text fields (0 = No, 1 = Yes)","Out of stock action","Virtual product","File URL","Number of allowed downloads","Expiration date","Number of days","ID / Name of shop","Advanced stock management","Depends On Stock","Warehouse","Acessories  (x,y,z...)"
50390822,1,"SVARTRÅ","Oświetlenie ogrodowe",129,1,129,0,0,0,"2021-11-17","2021-11-17",50390822,50390822,"IKEA","IKEA","1234","","",0,0.3,0.3,1,0.5,"","",10000,1,2,0,"",0,0,0,"Girlanda LED, 12 lampek, czarny/zewnętrzne","Daje ładne oświetlenie dekoracyjne.","","Meta title-SVARTRÅ","Meta keywords-SVARTRÅ","Meta description-SVARTRÅ","SVARTRA-50390822","In Stock","Current supply. Ordering availlable",1,"2023-11-17","2021-11-17",1,"https://www.ikea.com/pl/pl/images/products/svartra-girlanda-led-12-lampek-czarny-zewnetrzne__0454410_pe602747_s5.jpg?f=s,https://www.ikea.com/pl/pl/images/products/svartra-girlanda-led-12-lampek-czarny-zewnetrzne__0884690_pe648983_s5.jpg?f=s,https://www.ikea.com/pl/pl/images/products/svartra-girlanda-led-12-lampek-czarny-zewnetrzne__0884686_pe584615_s5.jpg?f=s,https://www.ikea.com/pl/pl/images/products/svartra-girlanda-led-12-lampek-czarny-zewnetrzne__0884714_pe694320_s5.jpg?f=s,https://www.ikea.com/pl/pl/images/products/svartra-girlanda-led-12-lampek-czarny-zewnetrzne__0884694_pe674098_s5.jpg?f=s,https://www.ikea.com/pl/pl/images/products/svartra-girlanda-led-12-lampek-czarny-zewnetrzne__0568769_ph145979_s5.jpg?f=s,https://www.ikea.com/pl/pl/images/products/svartra-girlanda-led-12-lampek-czarny-zewnetrzne__0568767_ph145989_s5.jpg?f=s,https://www.ikea.com/pl/pl/images/products/svartra-girlanda-led-12-lampek-czarny-zewnetrzne__0716545_pe730908_s5.jpg?f=s","",0,"",0,"new",0,0,0,0,0,"","","","",0,0,0,0,""
421406,1,"SOLARVET","Oświetlenie ogrodowe",79.99,1,79.99,0,0,0,"2021-11-17","2021-11-17",421406,421406,"IKEA","IKEA","1234","","",0,0.3,0.3,1,0.5,"","",10000,1,2,0,"",0,0,0,"Girlanda LED, 24 lampki, zewnętrzne na baterię słoneczną/kula biały","Ciesz się światłem na świeżym powietrzu po zachodzie słońca. Łańcuchy świetlne są idealne, gdy chcesz mieć ładną scenerię na balkonie, tarasie lub w ogrodzie. Stwórz przytulną atmosferę podczas kolacji lub spokojnej chwili w samotności.","","Meta title-SOLARVET","Meta keywords-SOLARVET","Meta description-SOLARVET","SOLARVET-421406","In Stock","Current supply. Ordering availlable",1,"2023-11-17","2021-11-17",1,"https://www.ikea.com/pl/pl/images/products/solarvet-girlanda-led-24-lampki-zewnetrzne-na-baterie-sloneczna-kula-bialy__0634551_pe696569_s5.jpg?f=s,https://www.ikea.com/pl/pl/images/products/solarvet-girlanda-led-24-lampki-zewnetrzne-na-baterie-sloneczna-kula-bialy__0884092_pe711612_s5.jpg?f=s,https://www.ikea.com/pl/pl/images/products/solarvet-girlanda-led-24-lampki-zewnetrzne-na-baterie-sloneczna-kula-bialy__0884084_pe696568_s5.jpg?f=s,https://www.ikea.com/pl/pl/images/products/solarvet-girlanda-led-24-lampki-zewnetrzne-na-baterie-sloneczna-kula-bialy__0884088_pe696570_s5.jpg?f=s,https://www.ikea.com/pl/pl/images/products/solarvet-girlanda-led-24-lampki-zewnetrzne-na-baterie-sloneczna-kula-bialy__0755480_ph151437_s5.jpg?f=s,https://www.ikea.com/pl/pl/images/products/solarvet-girlanda-led-24-lampki-zewnetrzne-na-baterie-sloneczna-kula-bialy__0687610_pe722095_s5.jpg?f=s","",0,"",0,"new",0,0,0,0,0,"","","","",0,0,0,0,""
421133,1,"UTSUND","Oświetlenie ogrodowe",49.99,1,49.99,0,0,0,"2021-11-17","2021-11-17",421133,421133,"IKEA","IKEA","1234","","",0,0.3,0.3,1,0.5,"","",10000,1,2,0,"",0,0,0,"Girlanda LED, 12 lampek, zewnętrzne/na baterie czarny","Ciesz się światłem na świeżym powietrzu po zachodzie słońca. Łańcuchy świetlne są idealne, gdy chcesz mieć ładną scenerię na balkonie, tarasie lub w ogrodzie. Stwórz przytulną atmosferę podczas kolacji lub spokojnej chwili w samotności.","","Meta title-UTSUND","Meta keywords-UTSUND","Meta description-UTSUND","UTSUND-421133","In Stock","Current supply. Ordering availlable",1,"2023-11-17","2021-11-17",1,"https://www.ikea.com/pl/pl/images/products/utsund-girlanda-led-12-lampek-zewnetrzne-na-baterie-czarny__0634463_pe696488_s5.jpg?f=s,https://www.ikea.com/pl/pl/images/products/utsund-girlanda-led-12-lampek-zewnetrzne-na-baterie-czarny__0634462_pe696489_s5.jpg?f=s,https://www.ikea.com/pl/pl/images/products/utsund-girlanda-led-12-lampek-zewnetrzne-na-baterie-czarny__0884017_pe696487_s5.jpg?f=s,https://www.ikea.com/pl/pl/images/products/utsund-girlanda-led-12-lampek-zewnetrzne-na-baterie-czarny__0756258_ph158734_s5.jpg?f=s,https://www.ikea.com/pl/pl/images/products/utsund-girlanda-led-12-lampek-zewnetrzne-na-baterie-czarny__0756269_ph158093_s5.jpg?f=s,https://www.ikea.com/pl/pl/images/products/utsund-girlanda-led-12-lampek-zewnetrzne-na-baterie-czarny__0687661_pe722113_s5.jpg?f=s","",0,"",0,"new",0,0,0,0,0,"","","","",0,0,0,0,""
357429,1,"LEDLJUS","Oświetlenie ogrodowe",12.99,1,12.99,0,0,0,"2021-11-17","2021-11-17",357429,357429,"IKEA","IKEA","1234","","",0,0.3,0.3,1,0.5,"","",10000,1,2,0,"",0,0,0,"Girlanda LED, 12 lampek, zewnętrzne/na baterie czarny","Ciesz się światłem na świeżym powietrzu po zachodzie słońca. Łańcuchy świetlne są idealne, gdy chcesz mieć ładną scenerię na balkonie, tarasie lub w ogrodzie. Stwórz przytulną atmosferę podczas kolacji lub spokojnej chwili w samotności.","","Meta title-LEDLJUS","Meta keywords-LEDLJUS","Meta description-LEDLJUS","LEDLJUS-357429","In Stock","Current supply. Ordering availlable",1,"2023-11-17","2021-11-17",1,"https://www.ikea.com/pl/pl/images/products/ledljus-girlanda-led-12-lampek-zewnetrzne-na-baterie-czarny__0634533_pe696539_s5.jpg?f=s,https://www.ikea.com/pl/pl/images/products/ledljus-girlanda-led-12-lampek-zewnetrzne-na-baterie-czarny__0634532_pe696542_s5.jpg?f=s,https://www.ikea.com/pl/pl/images/products/ledljus-girlanda-led-12-lampek-zewnetrzne-na-baterie-czarny__0883981_pe696537_s5.jpg?f=s,https://www.ikea.com/pl/pl/images/products/ledljus-girlanda-led-12-lampek-zewnetrzne-na-baterie-czarny__0687618_pe722098_s5.jpg?f=s","",0,"",0,"new",0,0,0,0,0,"","","","",0,0,0,0,""
40394439,1,"STORHAGA","Oświetlenie ogrodowe",159,1,159,0,0,0,"2021-11-17","2021-11-17",40394439,40394439,"IKEA","IKEA","1234","","",0,0.3,0.3,1,0.5,"","",10000,1,2,0,"",0,0,0,"Lampa stołowa LED, można przyciemniać zewnętrzne/czarny","Lampa przypominająca dawne lampy naftowe. Można ją ściemniać i jest bardzo uniwersalna - można ją używać wewnątrz i na zewnątrz, z przewodem lub akumulatorkami. Idealny na balkon lub patio.","","Meta title-STORHAGA","Meta keywords-STORHAGA","Meta description-STORHAGA","STORHAGA-40394439","In Stock","Current supply. Ordering availlable",1,"2023-11-17","2021-11-17",1,"https://www.ikea.com/pl/pl/images/products/storhaga-lampa-stolowa-led-mozna-przyciemniac-zewnetrzne-czarny__0763153_pe752459_s5.jpg?f=s,https://www.ikea.com/pl/pl/images/products/storhaga-lampa-stolowa-led-mozna-przyciemniac-zewnetrzne-czarny__0763156_pe752472_s5.jpg?f=s,https://www.ikea.com/pl/pl/images/products/storhaga-lampa-stolowa-led-mozna-przyciemniac-zewnetrzne-czarny__0763161_pe752473_s5.jpg?f=s,https://www.ikea.com/pl/pl/images/products/storhaga-lampa-stolowa-led-mozna-przyciemniac-zewnetrzne-czarny__0763168_pe752478_s5.jpg?f=s,https://www.ikea.com/pl/pl/images/products/storhaga-lampa-stolowa-led-mozna-przyciemniac-zewnetrzne-czarny__0763172_pe752481_s5.jpg?f=s,https://www.ikea.com/pl/pl/images/products/storhaga-lampa-stolowa-led-mozna-przyciemniac-zewnetrzne-czarny__0975904_ph169738_s5.jpg?f=s,https://www.ikea.com/pl/pl/images/products/storhaga-lampa-stolowa-led-mozna-przyciemniac-zewnetrzne-czarny__0896146_ph168897_s5.jpg?f=s,https://www.ikea.com/pl/pl/images/products/storhaga-lampa-stolowa-led-mozna-przyciemniac-zewnetrzne-czarny__0832523_ph166323_s5.jpg?f=s","",0,"",0,"new",0,0,0,0,0,"","","","",0,0,0,0,""
50370225,1,"GODAFTON","Oświetlenie ogrodowe",29.99,1,29.99,0,0,0,"2021-11-17","2021-11-17",50370225,50370225,"IKEA","IKEA","1234","","",0,0.3,0.3,1,0.5,"","",10000,1,2,0,"",0,0,0,"Świeca bryłowa LED, wew/zew, 2 szt., na baterie szary","GODAFTON to alternatywa dla prawdziwych świec, gdy chcesz stworzyć przytulną atmosferę. Daje miękkie, migoczące światło i może być używana jako oświetlenie dekoracyjne zarówno wewnątrz, jak i na zewnątrz.","","Meta title-GODAFTON","Meta keywords-GODAFTON","Meta description-GODAFTON","GODAFTON-50370225","In Stock","Current supply. Ordering availlable",1,"2023-11-17","2021-11-17",1,"https://www.ikea.com/pl/pl/images/products/godafton-swieca-brylowa-led-wew-zew-2-szt-na-baterie-szary__0641538_pe700492_s5.jpg?f=s,https://www.ikea.com/pl/pl/images/products/godafton-swieca-brylowa-led-wew-zew-2-szt-na-baterie-szary__0904586_pe652435_s5.jpg?f=s,https://www.ikea.com/pl/pl/images/products/godafton-swieca-brylowa-led-wew-zew-2-szt-na-baterie-szary__0904575_pe652434_s5.jpg?f=s,https://www.ikea.com/pl/pl/images/products/godafton-swieca-brylowa-led-wew-zew-2-szt-na-baterie-szary__0687158_ph153073_s5.jpg?f=s","",0,"",0,"new",0,0,0,0,0,"","","","",0,0,0,0,""
50355574,1,"GODAFTON","Oświetlenie ogrodowe",34.99,1,34.99,0,0,0,"2021-11-17","2021-11-17",50355574,50355574,"IKEA","IKEA","1234","","",0,0.3,0.3,1,0.5,"","",10000,1,2,0,"",0,0,0,"Świeca bryłowa LED, wew/zew, 3 szt, na baterie/naturalny","GODAFTON to alternatywa dla prawdziwych świec, gdy chcesz stworzyć przytulną atmosferę. Daje miękkie, migoczące światło i może być używana jako oświetlenie dekoracyjne zarówno wewnątrz, jak i na zewnątrz.","","Meta title-GODAFTON","Meta keywords-GODAFTON","Meta description-GODAFTON","GODAFTON-50355574","In Stock","Current supply. Ordering availlable",1,"2023-11-17","2021-11-17",1,"https://www.ikea.com/pl/pl/images/products/godafton-swieca-brylowa-led-wew-zew-3-szt-na-baterie-naturalny__0637441_pe698306_s5.jpg?f=s,https://www.ikea.com/pl/pl/images/products/godafton-swieca-brylowa-led-wew-zew-3-szt-na-baterie-naturalny__0904041_pe644468_s5.jpg?f=s,https://www.ikea.com/pl/pl/images/products/godafton-swieca-brylowa-led-wew-zew-3-szt-na-baterie-naturalny__0904037_pe644467_s5.jpg?f=s,https://www.ikea.com/pl/pl/images/products/godafton-swieca-brylowa-led-wew-zew-3-szt-na-baterie-naturalny__0654699_pe708790_s5.jpg?f=s,https://www.ikea.com/pl/pl/images/products/godafton-swieca-brylowa-led-wew-zew-3-szt-na-baterie-naturalny__0686392_ph152037_s5.jpg?f=s,https://www.ikea.com/pl/pl/images/products/godafton-swieca-brylowa-led-wew-zew-3-szt-na-baterie-naturalny__0687156_ph154471_s5.jpg?f=s,https://www.ikea.com/pl/pl/images/products/godafton-swieca-brylowa-led-wew-zew-3-szt-na-baterie-naturalny__0687157_ph153068_s5.jpg?f=s","",0,"",0,"new",0,0,0,0,0,"","","","",0,0,0,0,""
60355578,1,"GODAFTON","Oświetlenie ogrodowe",12.99,1,12.99,0,0,0,"2021-11-17","2021-11-17",60355578,60355578,"IKEA","IKEA","1234","","",0,0.3,0.3,1,0.5,"","",10000,1,2,0,"",0,0,0,"Świeca bryłowa LED wew/zew, na baterie/naturalny","GODAFTON to alternatywa dla prawdziwych świec, gdy chcesz stworzyć przytulną atmosferę. Daje miękkie, migoczące światło i może być używana jako oświetlenie dekoracyjne zarówno wewnątrz, jak i na zewnątrz.","","Meta title-GODAFTON","Meta keywords-GODAFTON","Meta description-GODAFTON","GODAFTON-60355578","In Stock","Current supply. Ordering availlable",1,"2023-11-17","2021-11-17",1,"https://www.ikea.com/pl/pl/images/products/godafton-swieca-brylowa-led-wew-zew-na-baterie-naturalny__0637255_pe698194_s5.jpg?f=s,https://www.ikea.com/pl/pl/images/products/godafton-swieca-brylowa-led-wew-zew-na-baterie-naturalny__0904201_pe644464_s5.jpg?f=s,https://www.ikea.com/pl/pl/images/products/godafton-swieca-brylowa-led-wew-zew-na-baterie-naturalny__0904220_pe653023_s5.jpg?f=s,https://www.ikea.com/pl/pl/images/products/godafton-swieca-brylowa-led-wew-zew-na-baterie-naturalny__0904197_pe644463_s5.jpg?f=s,https://www.ikea.com/pl/pl/images/products/godafton-swieca-brylowa-led-wew-zew-na-baterie-naturalny__0554694_pe659911_s5.jpg?f=s,https://www.ikea.com/pl/pl/images/products/godafton-swieca-brylowa-led-wew-zew-na-baterie-naturalny__0686392_ph152037_s5.jpg?f=s,https://www.ikea.com/pl/pl/images/products/godafton-swieca-brylowa-led-wew-zew-na-baterie-naturalny__0687156_ph154471_s5.jpg?f=s,https://www.ikea.com/pl/pl/images/products/godafton-swieca-brylowa-led-wew-zew-na-baterie-naturalny__0687157_ph153068_s5.jpg?f=s","",0,"",0,"new",0,0,0,0,0,"","","","",0,0,0,0,""
90436842,1,"VINTERFEST","Oświetlenie ogrodowe",29.99,1,29.99,0,0,0,"2021-11-17","2021-11-17",90436842,90436842,"IKEA","IKEA","1234","","",0,0.3,0.3,1,0.5,"","",10000,1,2,0,"",0,0,0,"Wianek LED, na baterie/zewnętrzne zielony","Wygodny i łatwy w użyciu, ponieważ wbudowany zegar automatycznie włącza światło o tej samej porze każdego dnia, które następnie świeci przez 6 godzin.","","Meta title-VINTERFEST","Meta keywords-VINTERFEST","Meta description-VINTERFEST","VINTERFEST-90436842","In Stock","Current supply. Ordering availlable",1,"2023-11-17","2021-11-17",1,"https://www.ikea.com/pl/pl/images/products/vinterfest-wianek-led-na-baterie-zewnetrzne-zielony__0755126_pe749844_s5.jpg?f=s,https://www.ikea.com/pl/pl/images/products/vinterfest-wianek-led-na-baterie-zewnetrzne-zielony__0755125_pe749843_s5.jpg?f=s,https://www.ikea.com/pl/pl/images/products/vinterfest-wianek-led-na-baterie-zewnetrzne-zielony__0755124_pe749842_s5.jpg?f=s","",0,"",0,"new",0,0,0,0,0,"","","","",0,0,0,0,""
80456227,1,"SÖDERSVIK","Oświetlenie łazienkowe",299,1,299,0,0,0,"2021-11-17","2021-11-17",80456227,80456227,"IKEA","IKEA","1234","","",0,0.3,0.3,1,0.5,"","",10000,1,2,0,"",0,0,0,"Lampa ścienna LED, biały/z połyskiem","Daje równomierne światło, dobre do oświetlenia okolic lustra i zlewu. ","","Meta title-SÖDERSVIK","Meta keywords-SÖDERSVIK","Meta description-SÖDERSVIK","SODERSVIK-80456227","In Stock","Current supply. Ordering availlable",1,"2023-11-17","2021-11-17",1,"https://www.ikea.com/pl/pl/images/products/soedersvik-lampa-scienna-led-bialy-z-polyskiem__0718327_pe731518_s5.jpg?f=s,https://www.ikea.com/pl/pl/images/products/soedersvik-lampa-scienna-led-bialy-z-polyskiem__0755935_pe748671_s5.jpg?f=s,https://www.ikea.com/pl/pl/images/products/soedersvik-lampa-scienna-led-bialy-z-polyskiem__0755941_pe748679_s5.jpg?f=s,https://www.ikea.com/pl/pl/images/products/soedersvik-lampa-scienna-led-bialy-z-polyskiem__0754653_pe748010_s5.jpg?f=s","",0,"",0,"new",0,0,0,0,0,"","","","",0,0,0,0,""
